X_COORD,Y_COORD,NOM,DEPARTEMEN,PCODE1,PCODE2,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE3,REGION,CHEF__LIEU
125819.00000000000,1159980.00000000000,Tengrela,TENGRELA,CIV01,CIV0101,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010101,BAGOUE,BOUNDIALI
202905.00000000000,647438.00000000000,Lakota,LAKOTA,CIV11,CIV1102,COTE D'VOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV110201,LOH-DJIBOUA,DIVO
239259.00000000000,646054.00000000000,Divo,DIVO,CIV11,CIV1102,COTE D'VOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV110202,LOH-DJIBOUA,DIVO
213801.00000000000,566598.00000000000,Fresco,FRESCO,CIV12,CIV1203,COTE D'VOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV120302,GBOKLE,SASSANDRA
251526.00000000000,610659.00000000000,Guitry,GUITRY,CIV11,CIV1102,COTE D'VOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV110203,LOH-DJIBOUA,DIVO
476392.00000000000,604520.00000000000,Aboisso,ABOISSO,CIV09,CIV0902,COTE D'VOIRE,CNTIG,COMOE,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV090201,SUD-COMOE,ABOISSO
466800.00000000000,583622.00000000000,Adiaké,ADIAKE,CIV09,CIV0902,COTE D'VOIRE,CNTIG,COMOE,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV090203,SUD-COMOE,ABOISSO
497708.00000000000,567027.00000000000,Tiapoum,TIAPOUM,CIV09,CIV0902,COTE D'VOIRE,CNTIG,COMOE,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV090204,SUD-COMOE,ABOISSO
277247.00000000000,852285.00000000000,Bouake,BOUAKE,CIV04,CIV0402,COTE D'VOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV040203,GBEKE,BOUAKE
245025.00000000000,870171.00000000000,Botro,BOTRO,CIV04,CIV0402,COTE D'VOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV040201,GBEKE,BOUAKE
247606.00000000000,958493.00000000000,Niakaramandougou,NIAKARAMADOUGOU,CIV04,CIV0401,COTE D'VOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV040101,HAMBOL,KATIOLA
