CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,ADM3_NAME,ADM3_PCODE,NATREG
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Naboun,GIN00400507,Haute Guinee
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Niagassola,GIN00400508,Haute Guinee
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Niandankoro,GIN00400509,Haute Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Niantanina,GIN00400410,Haute Guinee
Guinea,GIN,Mamou,GIN007,Pita,GIN007003,Ninguelande,GIN00700307,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Nionsomoridou,GIN00800111,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008006,Nongoa,GIN00800607,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Norassoba,GIN00400510,Haute Guinee
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Noussy,GIN00600210,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Mamou,GIN007002,Nyagara,GIN00700207,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Dubreka,GIN005002,Ouassou,GIN00500205,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008006,Ouende Kenema,GIN00800608,Guinee Forestiere
Guinea,GIN,Mamou,GIN007,Mamou,GIN007002,Oure Kaba,GIN00700208,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Ouremai,GIN00800310,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Nzerekore,GIN008004,Pale,GIN00800407,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Panziazou,GIN00800311,Guinee Forestiere
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Parawol,GIN00600309,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Faranah,GIN003003,Passaya,GIN00300308,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Yomou,GIN008005,Pela,GIN00800506,Guinee Forestiere
Guinea,GIN,Labe,GIN006,Koubia,GIN006001,Pilimini,GIN00600106,Moyenne Guinee
