CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,HRname,HRpcode,HRparent
Nigeria,NGA,Borno,NGA008,Marte,NGA008022,Marte,NG008022,NG008
Nigeria,NGA,Borno,NGA008,Nganzai,NGA008026,Nganzai,NG008026,NG008
Nigeria,NGA,Borno,NGA008,Shani,NGA008027,Shani,NG008027,NG008
Nigeria,NGA,Cross River,NGA009,Abi,NGA009001,Abi,NG009001,NG009
Nigeria,NGA,Cross River,NGA009,Bekwara,NGA009005,Bekwara,NG009005,NG009
Nigeria,NGA,Cross River,NGA009,Biase,NGA009006,Biase,NG009006,NG009
Nigeria,NGA,Cross River,NGA009,Calabar-Municipal,NGA009009,Calabar-Municipal,NG009009,NG009
Nigeria,NGA,Cross River,NGA009,Ikom,NGA009011,Ikom,NG009011,NG009
Nigeria,NGA,Cross River,NGA009,Obubra,NGA009013,Obubra,NG009013,NG009
Nigeria,NGA,Cross River,NGA009,Obudu,NGA009014,Obudu,NG009014,NG009
Nigeria,NGA,Cross River,NGA009,Odukpani,NGA009015,Odukpani,NG009015,NG009
Nigeria,NGA,Cross River,NGA009,Ogoja,NGA009016,Ogoja,NG009016,NG009
Nigeria,NGA,Cross River,NGA009,Yakurr,NGA009017,Yakurr,NG009017,NG009
Nigeria,NGA,Cross River,NGA009,Yala,NGA009018,Yala,NG009018,NG009
Nigeria,NGA,Delta,NGA010,Aniocha North,NGA010001,Aniocha North,NG010001,NG010
Nigeria,NGA,Delta,NGA010,Aniocha South,NGA010002,Aniocha South,NG010002,NG010
Nigeria,NGA,Delta,NGA010,Bomadi,NGA010003,Bomadi,NG010003,NG010
Nigeria,NGA,Delta,NGA010,Ethiope East,NGA010005,Ethiope East,NG010005,NG010
Nigeria,NGA,Delta,NGA010,Ethiope West,NGA010006,Ethiope West,NG010006,NG010
Nigeria,NGA,Delta,NGA010,Ika North East,NGA010007,Ika North East,NG010007,NG010
Nigeria,NGA,Delta,NGA010,Ika South,NGA010008,Ika South,NG010008,NG010
Nigeria,NGA,Delta,NGA010,Isoko North,NGA010009,Isoko North,NG010009,NG010
Nigeria,NGA,Delta,NGA010,Isoko South,NGA010010,Isoko South,NG010010,NG010
Nigeria,NGA,Delta,NGA010,Ndokwa East,NGA010011,Ndokwa East,NG010011,NG010
Nigeria,NGA,Delta,NGA010,Ndokwa West,NGA010012,Ndokwa West,NG010012,NG010
Nigeria,NGA,Delta,NGA010,Okpe,NGA010013,Okpe,NG010013,NG010
Nigeria,NGA,Delta,NGA010,Oshimili North,NGA010014,Oshimili North,NG010014,NG010
Nigeria,NGA,Delta,NGA010,Oshimili South,NGA010015,Oshimili South,NG010015,NG010
Nigeria,NGA,Delta,NGA010,Patani,NGA010016,Patani,NG010016,NG010
Nigeria,NGA,Delta,NGA010,Sapele,NGA010017,Sapele,NG010017,NG010
Nigeria,NGA,Delta,NGA010,Udu,NGA010018,Udu,NG010018,NG010
Nigeria,NGA,Delta,NGA010,Ughelli North,NGA010019,Ughelli North,NG010019,NG010
Nigeria,NGA,Delta,NGA010,Ughelli South,NGA010020,Ughelli South,NG010020,NG010
Nigeria,NGA,Delta,NGA010,Ukwuani,NGA010021,Ukwuani,NG010021,NG010
Nigeria,NGA,Delta,NGA010,Uvwie,NGA010022,Uvwie,NG010022,NG010
Nigeria,NGA,Delta,NGA010,Warri South,NGA010024,Warri South,NG010024,NG010
Nigeria,NGA,Ebonyi,NGA011,Abakaliki,NGA011001,Abakaliki,NG011001,NG011
Nigeria,NGA,Ebonyi,NGA011,Afikpo North,NGA011002,Afikpo North,NG011002,NG011
Nigeria,NGA,Ebonyi,NGA011,Afikpo South,NGA011003,Afikpo South,NG011003,NG011
Nigeria,NGA,Ebonyi,NGA011,Ebonyi,NGA011004,Ebonyi,NG011004,NG011
Nigeria,NGA,Ebonyi,NGA011,Ezza North,NGA011005,Ezza North,NG011005,NG011
Nigeria,NGA,Ebonyi,NGA011,Ezza South,NGA011006,Ezza South,NG011006,NG011
Nigeria,NGA,Ebonyi,NGA011,Ikwo,NGA011007,Ikwo,NG011007,NG011
Nigeria,NGA,Ebonyi,NGA011,Ishielu,NGA011008,Ishielu,NG011008,NG011
Nigeria,NGA,Ebonyi,NGA011,Ivo,NGA011009,Ivo,NG011009,NG011
Nigeria,NGA,Ebonyi,NGA011,Izzi,NGA011010,Izzi,NG011010,NG011
Nigeria,NGA,Ebonyi,NGA011,Ohaozara,NGA011011,Ohaozara,NG011011,NG011
Nigeria,NGA,Ebonyi,NGA011,Ohaukwu,NGA011012,Ohaukwu,NG011012,NG011
Nigeria,NGA,Ebonyi,NGA011,Onicha,NGA011013,Onicha,NG011013,NG011
Nigeria,NGA,Edo,NGA012,Akoko-Edo,NGA012001,Akoko-Edo,NG012001,NG012
Nigeria,NGA,Edo,NGA012,Egor,NGA012002,Egor,NG012002,NG012
Nigeria,NGA,Edo,NGA012,Esan North East,NGA012004,Esan North East,NG012004,NG012
Nigeria,NGA,Edo,NGA012,Esan Central,NGA012003,Esan Central,NG012003,NG012
Nigeria,NGA,Edo,NGA012,Esan South East,NGA012005,Esan South East,NG012005,NG012
Nigeria,NGA,Edo,NGA012,Esan West,NGA012006,Esan West,NG012006,NG012
Nigeria,NGA,Edo,NGA012,Etsako Central,NGA012007,Etsako Central,NG012007,NG012
Nigeria,NGA,Edo,NGA012,Etsako East,NGA012008,Etsako East,NG012008,NG012
Nigeria,NGA,Edo,NGA012,Etsako West,NGA012009,Etsako West,NG012009,NG012
Nigeria,NGA,Edo,NGA012,Igueben,NGA012010,Igueben,NG012010,NG012
Nigeria,NGA,Edo,NGA012,Ikpoba-Okha,NGA012011,Ikpoba-Okha,NG012011,NG012
Nigeria,NGA,Edo,NGA012,Oredo,NGA012012,Oredo,NG012012,NG012
Nigeria,NGA,Edo,NGA012,Orhionmwon,NGA012013,Orhionmwon,NG012013,NG012
Nigeria,NGA,Edo,NGA012,Ovia North East,NGA012014,Ovia North East,NG012014,NG012
Nigeria,NGA,Edo,NGA012,Ovia South West,NGA012015,Ovia South West,NG012015,NG012
Nigeria,NGA,Edo,NGA012,Owan East,NGA012016,Owan East,NG012016,NG012
Nigeria,NGA,Edo,NGA012,Owan West,NGA012017,Owan West,NG012017,NG012
Nigeria,NGA,Edo,NGA012,Uhunmwonde,NGA012018,Uhunmwonde,NG012018,NG012
Nigeria,NGA,Ekiti,NGA013,Ado Ekiti,NGA013001,Ado Ekiti,NG013001,NG013
Nigeria,NGA,Ekiti,NGA013,Efon-Alayee,NGA013003,Efon-Alayee,NG013003,NG013
Nigeria,NGA,Ekiti,NGA013,Ekiti East,NGA013004,Ekiti East,NG013004,NG013
Nigeria,NGA,Ekiti,NGA013,Ekiti South West,NGA013005,Ekiti South West,NG013005,NG013
Nigeria,NGA,Ekiti,NGA013,Ekiti West,NGA013006,Ekiti West,NG013006,NG013
Nigeria,NGA,Ekiti,NGA013,Emure,NGA013007,Emure,NG013007,NG013
Nigeria,NGA,Ekiti,NGA013,Gboyin,NGA013002,Gboyin,NG013002,NG013
Nigeria,NGA,Ekiti,NGA013,Idosi-Osi,NGA013008,Idosi-Osi,NG013008,NG013
Nigeria,NGA,Ekiti,NGA013,Ijero,NGA013009,Ijero,NG013009,NG013
Nigeria,NGA,Ekiti,NGA013,Ikere,NGA013010,Ikere,NG013010,NG013
Nigeria,NGA,Ekiti,NGA013,Ikole,NGA013011,Ikole,NG013011,NG013
Nigeria,NGA,Ekiti,NGA013,Ilemeji,NGA013012,Ilemeji,NG013012,NG013
Nigeria,NGA,Ekiti,NGA013,Irepodun/Ifelodun,NGA013013,Irepodun/Ifelodun,NG013013,NG013
Nigeria,NGA,Ekiti,NGA013,Ise/Orun,NGA013014,Ise/Orun,NG013014,NG013
Nigeria,NGA,Ekiti,NGA013,Moba,NGA013015,Moba,NG013015,NG013
Nigeria,NGA,Ekiti,NGA013,Oye,NGA013016,Oye,NG013016,NG013
Nigeria,NGA,Enugu,NGA014,Aninri,NGA014001,Aninri,NG014001,NG014
Nigeria,NGA,Enugu,NGA014,Awgu,NGA014002,Awgu,NG014002,NG014
Nigeria,NGA,Enugu,NGA014,Enugu East,NGA014003,Enugu East,NG014003,NG014
Nigeria,NGA,Enugu,NGA014,Enugu North,NGA014004,Enugu North,NG014004,NG014
Nigeria,NGA,Enugu,NGA014,Enugu South,NGA014005,Enugu South,NG014005,NG014
Nigeria,NGA,Enugu,NGA014,Ezeagu,NGA014006,Ezeagu,NG014006,NG014
Nigeria,NGA,Enugu,NGA014,Igbo-Etiti,NGA014007,Igbo-Etiti,NG014007,NG014
Nigeria,NGA,Enugu,NGA014,Igbo-Eze North,NGA014008,Igbo-Eze North,NG014008,NG014
Nigeria,NGA,Enugu,NGA014,Igbo-Eze South,NGA014009,Igbo-Eze South,NG014009,NG014
Nigeria,NGA,Enugu,NGA014,Isi-Uzo,NGA014010,Isi-Uzo,NG014010,NG014
Nigeria,NGA,Enugu,NGA014,Nkanu East,NGA014011,Nkanu East,NG014011,NG014
Nigeria,NGA,Enugu,NGA014,Nkanu West,NGA014012,Nkanu West,NG014012,NG014
Nigeria,NGA,Enugu,NGA014,Nsukka,NGA014013,Nsukka,NG014013,NG014
Nigeria,NGA,Enugu,NGA014,Oji-River,NGA014014,Oji-River,NG014014,NG014
Nigeria,NGA,Enugu,NGA014,Udenu,NGA014015,Udenu,NG014015,NG014
Nigeria,NGA,Enugu,NGA014,Udi,NGA014016,Udi,NG014016,NG014
