"name","pcode","parent","admlevel"
"Kimbirila Sud","CIV02020102","CIV020201",4
"Sí©rihio","CIV11010211","CIV110102",4
"Dignago","CIV11010205","CIV110102",4
"Galí©bouo","CIV11010208","CIV110102",4
"Tonla","CIV11010103","CIV110101",4
"Guí©pahouo","CIV11010102","CIV110101",4
"Gonatí©","CIV08010202","CIV080102",4
"Gadouan","CIV08010206","CIV080102",4
"Seitifla","CIV08010101","CIV080101",4
"Ketro Bassam","CIV08010106","CIV080101",4
"Bazra Nattis","CIV08010102","CIV080101",4
"Lomokankro","CIV07020203","CIV070202",4
"Molonou","CIV07020202","CIV070202",4
"Angoda","CIV07020301","CIV070203",4
"KpouíÂbo","CIV07020305","CIV070203",4
"Attiegouakro","CIV10010102","CIV100101",4
"Molonou-Blí©","CIV07020102","CIV070201",4
"Brofodoumí©","CIV14010103","CIV140101",4
"Oghlwapo","CIV13010405","CIV130104",4
"Toupah","CIV13030201","CIV130302",4
"Lopou","CIV13030202","CIV130302",4
"Gomon","CIV13020301","CIV130203",4
"Ebonou","CIV13030104","CIV130301",4
"Bacanda","CIV13030101","CIV130301",4
"Ahouanou","CIV13030102","CIV130301",4
"Zaguií©ta","CIV08020206","CIV080202",4
"Bazrí©","CIV08020303","CIV080203",4
"Kononfla","CIV08020302","CIV080203",4
"Kouí©tinfla","CIV08020304","CIV080203",4
"Voueboufla","CIV08020102","CIV080201",4
"Kanzra","CIV08020107","CIV080201",4
"Dií©ouzon","CIV06020202","CIV060202",4
"Guinglo Tahouake","CIV06020207","CIV060202",4
"Zí©o","CIV06020204","CIV060202",4
"Zou","CIV06020208","CIV060202",4
"Santa","CIV06010107","CIV060101",4
"Gbangbí©gouiní©","CIV06010109","CIV060101",4
"Yorodougou","CIV06010103","CIV060101",4
"Kouan-Houlí©","CIV06010302","CIV060103",4
"Daleu","CIV06010301","CIV060103",4
"Tí©apleu","CIV06010402","CIV060104",4
"Totrodrou","CIV06020108","CIV060201",4
"Yapleu","CIV06010211","CIV060102",4
"Dokí©","CIV06030102","CIV060301",4
"Tinhou","CIV06030104","CIV060301",4
"Zeaglo","CIV06030103","CIV060301",4
"Zagne","CIV06030205","CIV060302",4
"Pí©hí©","CIV06030301","CIV060303",4
"Tiobly","CIV06030304","CIV060303",4
"Amí©lí©kia","CIV09010202","CIV090102",4
"Aniassuí©","CIV09010203","CIV090102",4
"Yakasse Feyasse","CIV09010201","CIV090102",4
"Ebilassokro","CIV09010207","CIV090102",4
"Zaranou","CIV09010206","CIV090102",4
"Diamarakro","CIV09010301","CIV090103",4
"Tanguí©lan","CIV09010103","CIV090101",4
"Duffrebo","CIV09010101","CIV090101",4
"Bengassou","CIV07030105","CIV070301",4
"N'Zecrezessou","CIV07030103","CIV070301",4
"Andí©","CIV07030301","CIV070303",4
"Nofou","CIV07030201","CIV070302",4
"Ganaoni","CIV01010305","CIV010103",4
"Siempurgo","CIV01010303","CIV010103",4
"Sianhala","CIV01010204","CIV010102",4
"Kanoroba","CIV01020118","CIV010201",4
"Dí©bí©tí©","CIV01010102","CIV010101",4
"Niambí©zaria","CIV11020105","CIV110201",4
"Ogoudou","CIV11020205","CIV110202",4
"Didoko","CIV11020204","CIV110202",4
"Gbagbam","CIV12030201","CIV120302",4
"Lauzoua","CIV11020303","CIV110203",4
"Bianouan","CIV09020101","CIV090201",4
"Yaou","CIV09020102","CIV090201",4
"Kouakro","CIV09020106","CIV090201",4
"Noí©","CIV09020401","CIV090204",4
"Nouamou","CIV09020402","CIV090204",4
"Nií©dií©kaha","CIV04010104","CIV040101",4
"Badikaha","CIV04010101","CIV040101",4
"Ando Kekrenou","CIV04020206","CIV040202",4
"Dianra Village","CIV05010102","CIV050101",4
"Marandallah","CIV05010104","CIV050101",4
"Fadiadougou","CIV05030103","CIV050301",4
"Appimadoum","CIV03020112","CIV030201",4
"Goumere","CIV03020110","CIV030201",4
"Yorobodi","CIV03020201","CIV030202",4
"Dimandougou","CIV03020203","CIV030202",4
"Sapli-Sí©pingo","CIV03020107","CIV030201",4
"Sorobango","CIV03020104","CIV030201",4
"Tabagne","CIV03020109","CIV030201",4
"Taoudi","CIV03020105","CIV030201",4
"Bondo","CIV03020103","CIV030201",4
"Tougbo","CIV03010103","CIV030101",4
"Sominassí©","CIV03010405","CIV030104",4
"Amanvi","CIV03020301","CIV030203",4
"Tienkoikro","CIV03020506","CIV030205",4
"Damí©","CIV09010104","CIV090101",4
"Akoboissuí©","CIV09010105","CIV090101",4
"Sí©mien","CIV06020101","CIV060201",4
"Nidrou","CIV06020109","CIV060201",4
"Mahapleu","CIV06010305","CIV060103",4
"Guí©hií©bly","CIV06020301","CIV060203",4
"Bagohouo","CIV06020302","CIV060203",4
"Guí©zon","CIV06020304","CIV060203",4
"Gbapleu","CIV06020305","CIV060203",4
"Dania","CIV08010105","CIV080101",4
"Zaibo","CIV08010204","CIV080102",4
"Boguí©dia","CIV08010401","CIV080104",4
"Bayota","CIV11010201","CIV110102",4
"Ayaou Sran","CIV04020403","CIV040204",4
"Toumodi Sakassou","CIV04020404","CIV040204",4
"Kondrobo","CIV04020204","CIV040202",4
"Languibonou","CIV04020104","CIV040201",4
"Bonguí©ra","CIV07010201","CIV070102",4
"Tankessí©","CIV03020504","CIV030205",4
"Koffi Amonkro","CIV07010105","CIV070101",4
"Timbí©","CIV04010302","CIV040103",4
"Gbeleban","CIV02020302","CIV020203",4
"Etuí©bouí©","CIV09020302","CIV090203",4
"Assinie-Mafia","CIV09020303","CIV090203",4
"Yocobouí©","CIV11020304","CIV110203",4
"Danguira","CIV13010401","CIV130104",4
"Guessiguií©","CIV13020210","CIV130202",4
"Lolobo","CIV10010101","CIV100101",4
"Kossou","CIV10010201","CIV100102",4
"Sokoro","CIV02010103","CIV020101",4
"Gohouo Zagna","CIV06020205","CIV060202",4
"Bedi Gaozon","CIV06030201","CIV060302",4
"Nahio","CIV08010407","CIV080104",4
"Gnagbodougnoa","CIV11010209","CIV110102",4
"Gbolouville","CIV13020106","CIV130201",4
